Name;Gauss-Krueger E;Gauss-Krueger N
Amelinghausen, Kirche;3581255;5888734
Amelinghausen, Oldendorfer Straße;3581352;5889793
Amelinghausen, Soltauer Straße;3580962;5888754
Ammersbek, Alter Teichweg;3580444;5953971
Ammersbek, Beekkamp;3576701;5951166
Ammersbek, Bramkampredder;3579743;5953331
Ammersbek, Bünningstedter Feldweg;3580848;5953842
Ammersbek, Hunnau;3578789;5952811
Ammersbek, Joostredder;3580851;5952860
Ammersbek, Laberg;3578275;5952540
Ammersbek, Lehmkuhle;3577520;5951959
Ammersbek, Pumpenhaus;3581093;5953496
Ammersbek, Rathaus;3577220;5951768
Ammersbek, Schäferdresch;3580088;5953695
Ammersbek, Schneiderberg;3580404;5952115
Ammersbek, Tannenkoppelweg;3580398;5953980
Ammersbek, Teichweg;3576339;5950664
Amtsstraße;3577094;5941189
An de Geest;3554480;5926794
An den Wiesen;3556880;5927865
An der Bergkoppel;3579619;5930570
An der Eiche;3567238;5922976
An der Kleiderkasse;3562346;5936915
An der Lohe;3563102;5944032
An der Pollhofsbrücke;3581806;5928274
An der Schleemer Mühle;3574058;5934553
Andreas-Meyer-Straße (Mitte);3571594;5932380
Andreas-Meyer-Straße (Ost);3571819;5932153
Andreas-Meyer-Straße (West);3571162;5932816
Angerburger Straße;3572083;5940580
Anker, Ankerweg;3608551;5951923
Anker, Hauptstraße;3608197;5951814
Ankunftszentrum Rahlstedt;3576689;5944130
Anna-Siemsen-Gang;3578448;5928654
Anna-Susanna-Stieg;3561010;5946140
Anne-Frank-Straße;3552362;5937951
Anton-Rée-Schule;3578038;5928511
Apensen;3540863;5923554
Apensen, Beckdorfer Straße;3540892;5922631
Apensen, Feldstraße;3541650;5923297
Apensen, Gräfenweg;3540692;5923221
Apensen, Rathaus;3541228;5922861
Apensen, Schule;3540995;5922952
Apensen, Schulzentrum;3540511;5922350
Apensen, Stader Straße;3540739;5923065
Apensen, Zentrum;3540994;5922720
Apostelkirche;3562684;5938625
Appel, Alter Postweg;3548884;5916600
Appel, Gemeindehaus;3549688;5917913
Appel, Kreisstraße;3549777;5918016
Appelbütteler Weg;3562182;5923192
Appen, Bouhlentwiete;3549232;5947883
Appen, Denkmal;3549611;5947887
Appen, Friedhof;3549966;5946861
Appen, Kaserne;3547162;5947699
Appen, Pinnaubogen;3549827;5947818
Appen, Schule;3548715;5948046
Appen, Schulstraße;3548799;5947916
Appen, Turnhalle;3548602;5948213
Appen, Unterglinde;3546619;5948379
Appen, Ziegeleiweg;3546665;5947853
Appen-Etz, Denkmal;3549954;5945081
Appen-Etz, Kiesgrube;3548714;5944582
Appen-Etz, Rollbarg;3550406;5945490
Appen-Etz, Wedeler Chaussee;3550408;5945566
Archenholzstraße (Ost);3574678;5935384
Ardestorf, Am Dorfteich;3550706;5922326
Arenen;3559626;5940062
Arenen(Luftbadweg);3559509;5939570
Argentinienbrücke;3564799;5933410
Argentinienbrücke (Fähre);3564694;5933385
Armbruststraße;3562334;5938498
Armstedt, Dorfstraße;3555912;5982551
Armstedt, Schulstraße;3555728;5982703
Arningstraße;3565390;5934401
Arningstraße (Fähre);3565348;5934412
Arnswalder Straße;3576275;5943094
Arp-Schnitger-Stieg;3553900;5931657
Artlenburg, B 209;3599496;5916204
